distrito_nombre,agrupacion_id,agrupacion_nombre,votos_cantidad
Buenos Aires,132,JUNTOS POR EL CAMBIO,2374023
Buenos Aires,133,HACEMOS POR NUESTRO PAIS,367457
Buenos Aires,134,UNION POR LA PATRIA,4224688
Buenos Aires,135,LA LIBERTAD AVANZA,2533633
Buenos Aires,136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,352790
Catamarca,132,JUNTOS POR EL CAMBIO,39960
Catamarca,133,HACEMOS POR NUESTRO PAIS,14967
Catamarca,134,UNION POR LA PATRIA,99612
Catamarca,135,LA LIBERTAD AVANZA,74570
Catamarca,136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3666
Chaco,132,JUNTOS POR EL CAMBIO,171756
Chaco,133,HACEMOS POR NUESTRO PAIS,25804
Chaco,134,UNION POR LA PATRIA,310962
Chaco,135,LA LIBERTAD AVANZA,197596
Chaco,136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,5482
Chubut,132,JUNTOS POR EL CAMBIO,70717
Chubut,133,HACEMOS POR NUESTRO PAIS,26555
Chubut,134,UNION POR LA PATRIA,110820
Chubut,135,LA LIBERTAD AVANZA,120297
Chubut,136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,15122
Ciudad Autónoma de Buenos Aires,132,JUNTOS POR EL CAMBIO,767367
Ciudad Autónoma de Buenos Aires,133,HACEMOS POR NUESTRO PAIS,57607
Ciudad Autónoma de Buenos Aires,134,UNION POR LA PATRIA,600832
Ciudad Autónoma de Buenos Aires,135,LA LIBERTAD AVANZA,369424
Ciudad Autónoma de Buenos Aires,136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,66145
Corrientes,132,JUNTOS POR EL CAMBIO,224519
Corrientes,133,HACEMOS POR NUESTRO PAIS,19118
Corrientes,134,UNION POR LA PATRIA,260040
Corrientes,135,LA LIBERTAD AVANZA,187916
Corrientes,136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,7315
Córdoba,132,JUNTOS POR EL CAMBIO,519252
Córdoba,133,HACEMOS POR NUESTRO PAIS,665717
Córdoba,134,UNION POR LA PATRIA,308016
Córdoba,135,LA LIBERTAD AVANZA,769847
Córdoba,136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,31895
