distrito_nombre,agrupacion_nombre,lista_numero,votos_cantidad
Buenos Aires,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3009,209110
Buenos Aires,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3010,84491
Buenos Aires,FRENTE LIBER.AR,3002,4675
Buenos Aires,FRENTE LIBER.AR,3003,10159
Buenos Aires,FRENTE LIBER.AR,3004,989
Buenos Aires,FRENTE PATRIOTA FEDERAL,3021,19974
Buenos Aires,HACEMOS POR NUESTRO PAIS,3001,97586
Buenos Aires,JUNTOS POR EL CAMBIO,3007,1118933
Buenos Aires,JUNTOS POR EL CAMBIO,3008,1448907
Buenos Aires,LA LIBERTAD AVANZA,3016,2161679
Buenos Aires,MOVIMIENTO AL SOCIALISMO,3017,32230
Buenos Aires,MOVIMIENTO DE ACCION VECINAL,3025,12795
Buenos Aires,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3026,9405
Buenos Aires,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3027,25324
Buenos Aires,MOVIMIENTO LIBRES DEL SUR,3019,41840
Buenos Aires,POLITICA OBRERA,3020,19572
Buenos Aires,PRINCIPIOS Y VALORES,3011,77614
Buenos Aires,PROYECTO JOVEN,3022,7317
Buenos Aires,PROYECTO JOVEN,3023,7060
Buenos Aires,PROYECTO JOVEN,3024,2062
Buenos Aires,UNION DEL CENTRO DEMOCRATICO,3018,7400
Buenos Aires,UNION POR LA PATRIA,3005,2069920
Buenos Aires,UNION POR LA PATRIA,3006,761158
Catamarca,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3009,1222
Catamarca,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3010,1580
Catamarca,FRENTE LIBER.AR,3002,7
Catamarca,FRENTE LIBER.AR,3003,1
Catamarca,FRENTE LIBER.AR,3004,57
Catamarca,FRENTE PATRIOTA FEDERAL,3021,394
Catamarca,HACEMOS POR NUESTRO PAIS,3001,3530
Catamarca,JUNTOS POR EL CAMBIO,3007,20498
Catamarca,JUNTOS POR EL CAMBIO,3008,24046
Catamarca,LA LIBERTAD AVANZA,3016,53778
Catamarca,MOVIMIENTO AL SOCIALISMO,3017,557
Catamarca,MOVIMIENTO DE ACCION VECINAL,3025,385
Catamarca,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3026,264
Catamarca,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3027,323
Catamarca,MOVIMIENTO LIBRES DEL SUR,3019,1245
Catamarca,POLITICA OBRERA,3020,745
Catamarca,PRINCIPIOS Y VALORES,3011,67
Catamarca,PRINCIPIOS Y VALORES,3012,7
Catamarca,PRINCIPIOS Y VALORES,3013,3
Catamarca,PRINCIPIOS Y VALORES,3014,3
Catamarca,PRINCIPIOS Y VALORES,3015,1
Catamarca,PROYECTO JOVEN,3022,13
Catamarca,PROYECTO JOVEN,3023,4
Catamarca,PROYECTO JOVEN,3024,3
Catamarca,UNION DEL CENTRO DEMOCRATICO,3018,17
Catamarca,UNION POR LA PATRIA,3005,83099
Catamarca,UNION POR LA PATRIA,3006,4414
