distrito_nombre,agrupacion_nombre,lista_numero,votos_cantidad,eleccion
Buenos Aires,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3009.0,209110,PASO
Buenos Aires,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3010.0,84491,PASO
Buenos Aires,FRENTE LIBER.AR,3002.0,4675,PASO
Buenos Aires,FRENTE LIBER.AR,3003.0,10159,PASO
Buenos Aires,FRENTE LIBER.AR,3004.0,989,PASO
Buenos Aires,FRENTE PATRIOTA FEDERAL,3021.0,19974,PASO
Buenos Aires,HACEMOS POR NUESTRO PAIS,3001.0,97586,PASO
Buenos Aires,JUNTOS POR EL CAMBIO,3007.0,1118933,PASO
Buenos Aires,JUNTOS POR EL CAMBIO,3008.0,1448907,PASO
Buenos Aires,LA LIBERTAD AVANZA,3016.0,2161679,PASO
Buenos Aires,MOVIMIENTO AL SOCIALISMO,3017.0,32230,PASO
Buenos Aires,MOVIMIENTO DE ACCION VECINAL,3025.0,12795,PASO
Buenos Aires,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3026.0,9405,PASO
Buenos Aires,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3027.0,25324,PASO
Buenos Aires,MOVIMIENTO LIBRES DEL SUR,3019.0,41840,PASO
Buenos Aires,POLITICA OBRERA,3020.0,19572,PASO
Buenos Aires,PRINCIPIOS Y VALORES,3011.0,77614,PASO
Buenos Aires,PROYECTO JOVEN,3022.0,7317,PASO
Buenos Aires,PROYECTO JOVEN,3023.0,7060,PASO
Buenos Aires,PROYECTO JOVEN,3024.0,2062,PASO
Buenos Aires,UNION DEL CENTRO DEMOCRATICO,3018.0,7400,PASO
Buenos Aires,UNION POR LA PATRIA,3005.0,2069920,PASO
Buenos Aires,UNION POR LA PATRIA,3006.0,761158,PASO
Catamarca,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3009.0,1222,PASO
Catamarca,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3010.0,1580,PASO
Catamarca,FRENTE LIBER.AR,3002.0,7,PASO
Catamarca,FRENTE LIBER.AR,3003.0,1,PASO
Catamarca,FRENTE LIBER.AR,3004.0,57,PASO
Catamarca,FRENTE PATRIOTA FEDERAL,3021.0,394,PASO
Catamarca,HACEMOS POR NUESTRO PAIS,3001.0,3530,PASO
Catamarca,JUNTOS POR EL CAMBIO,3007.0,20498,PASO
Catamarca,JUNTOS POR EL CAMBIO,3008.0,24046,PASO
Catamarca,LA LIBERTAD AVANZA,3016.0,53778,PASO
Catamarca,MOVIMIENTO AL SOCIALISMO,3017.0,557,PASO
Catamarca,MOVIMIENTO DE ACCION VECINAL,3025.0,385,PASO
Catamarca,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3026.0,264,PASO
Catamarca,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3027.0,323,PASO
Catamarca,MOVIMIENTO LIBRES DEL SUR,3019.0,1245,PASO
Catamarca,POLITICA OBRERA,3020.0,745,PASO
Catamarca,PRINCIPIOS Y VALORES,3011.0,67,PASO
Catamarca,PRINCIPIOS Y VALORES,3012.0,7,PASO
Catamarca,PRINCIPIOS Y VALORES,3013.0,3,PASO
Catamarca,PRINCIPIOS Y VALORES,3014.0,3,PASO
Catamarca,PRINCIPIOS Y VALORES,3015.0,1,PASO
Catamarca,PROYECTO JOVEN,3022.0,13,PASO
Catamarca,PROYECTO JOVEN,3023.0,4,PASO
Catamarca,PROYECTO JOVEN,3024.0,3,PASO
Catamarca,UNION DEL CENTRO DEMOCRATICO,3018.0,17,PASO
Catamarca,UNION POR LA PATRIA,3005.0,83099,PASO
Catamarca,UNION POR LA PATRIA,3006.0,4414,PASO
Chaco,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3009.0,3585,PASO
Chaco,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3010.0,4125,PASO
Chaco,FRENTE LIBER.AR,3002.0,46,PASO
Chaco,FRENTE LIBER.AR,3003.0,77,PASO
Chaco,FRENTE LIBER.AR,3004.0,130,PASO
Chaco,FRENTE PATRIOTA FEDERAL,3021.0,1490,PASO
Chaco,HACEMOS POR NUESTRO PAIS,3001.0,8833,PASO
Chaco,JUNTOS POR EL CAMBIO,3007.0,69529,PASO
Chaco,JUNTOS POR EL CAMBIO,3008.0,96192,PASO
Chaco,LA LIBERTAD AVANZA,3016.0,180599,PASO
Chaco,MOVIMIENTO AL SOCIALISMO,3017.0,2437,PASO
Chaco,MOVIMIENTO DE ACCION VECINAL,3025.0,1211,PASO
Chaco,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3026.0,1108,PASO
Chaco,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3027.0,1156,PASO
Chaco,MOVIMIENTO LIBRES DEL SUR,3019.0,6141,PASO
Chaco,POLITICA OBRERA,3020.0,2035,PASO
Chaco,PRINCIPIOS Y VALORES,3011.0,4150,PASO
Chaco,PRINCIPIOS Y VALORES,3012.0,44,PASO
Chaco,PRINCIPIOS Y VALORES,3013.0,15,PASO
Chaco,PRINCIPIOS Y VALORES,3014.0,9,PASO
Chaco,PRINCIPIOS Y VALORES,3015.0,14,PASO
Chaco,PROYECTO JOVEN,3022.0,39,PASO
Chaco,PROYECTO JOVEN,3023.0,84,PASO
Chaco,PROYECTO JOVEN,3024.0,6,PASO
Chaco,UNION DEL CENTRO DEMOCRATICO,3018.0,21,PASO
Chaco,UNION POR LA PATRIA,3005.0,199837,PASO
Chaco,UNION POR LA PATRIA,3006.0,16420,PASO
Chubut,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3009.0,6656,PASO
Chubut,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3010.0,3763,PASO
Chubut,FRENTE LIBER.AR,3002.0,6,PASO
Chubut,FRENTE LIBER.AR,3003.0,63,PASO
Chubut,FRENTE LIBER.AR,3004.0,90,PASO
Chubut,FRENTE PATRIOTA FEDERAL,3021.0,905,PASO
Chubut,HACEMOS POR NUESTRO PAIS,3001.0,7587,PASO
Chubut,JUNTOS POR EL CAMBIO,3007.0,29818,PASO
Chubut,JUNTOS POR EL CAMBIO,3008.0,46785,PASO
Chubut,LA LIBERTAD AVANZA,3016.0,124030,PASO
Chubut,MOVIMIENTO AL SOCIALISMO,3017.0,1959,PASO
Chubut,MOVIMIENTO DE ACCION VECINAL,3025.0,819,PASO
Chubut,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3026.0,128,PASO
Chubut,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3027.0,1022,PASO
Chubut,MOVIMIENTO LIBRES DEL SUR,3019.0,1926,PASO
Chubut,POLITICA OBRERA,3020.0,1367,PASO
Chubut,PRINCIPIOS Y VALORES,3011.0,3094,PASO
Chubut,PRINCIPIOS Y VALORES,3013.0,15,PASO
